Unit Serial No : 240-LV0P465-EU
Integration Time : 60 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:20:02

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
426.0000      	23474.1784    	1455.27271    
426.5000      	23446.6589    	1508.09094    
427.0000      	23419.2037    	1479.54541    
427.5000      	23391.8129    	1508.72729    
428.0000      	23364.4860    	1450.00000    
428.5000      	23337.2229    	1493.45459    
429.0000      	23310.0233    	1605.18176    
429.5000      	23282.8871    	1530.90906    
430.0000      	23255.8140    	1486.00000    
430.5000      	23228.8037    	1501.27271    
431.0000      	23201.8561    	1585.36365    
431.5000      	23174.9710    	1463.72729    
432.0000      	23148.1481    	1434.18176    
432.5000      	23121.3873    	1455.09094    
433.0000      	23094.6882    	1394.90906    
433.5000      	23068.0507    	1460.90906    
434.0000      	23041.4747    	1576.18176    
434.5000      	23014.9597    	1456.54541    
435.0000      	22988.5057    	1508.00000    
435.5000      	22962.1125    	1557.09094    
436.0000      	22935.7798    	1511.45459    
436.5000      	22909.5074    	1441.72729    
437.0000      	22883.2952    	1447.18176    
437.5000      	22857.1429    	1491.81824    
438.0000      	22831.0502    	1441.09094    
438.5000      	22805.0171    	1390.72729    
439.0000      	22779.0433    	1415.00000    
439.5000      	22753.1286    	1360.81824    
440.0000      	22727.2727    	1660.45459    
440.5000      	22701.4756    	1530.27271    
441.0000      	22675.7370    	1617.45459    
441.5000      	22650.0566    	1439.18176    
442.0000      	22624.4344    	1445.72729    
442.5000      	22598.8701    	1586.36365    
443.0000      	22573.3634    	1519.27271    
443.5000      	22547.9143    	1508.81824    
444.0000      	22522.5225    	1511.81824    
444.5000      	22497.1879    	1517.63635    
445.0000      	22471.9101    	1532.63635    
445.5000      	22446.6891    	1376.72729    
446.0000      	22421.5247    	1408.00000    
446.5000      	22396.4166    	1522.90906    
447.0000      	22371.3647    	1428.54541    
447.5000      	22346.3687    	1471.63635    
448.0000      	22321.4286    	1505.00000    
448.5000      	22296.5440    	1410.45459    
449.0000      	22271.7149    	1498.36365    
449.5000      	22246.9410    	1583.90906    
450.0000      	22222.2222    	1485.00000    
450.5000      	22197.5583    	1531.72729    
451.0000      	22172.9490    	1545.81824    
451.5000      	22148.3942    	1508.45459    
452.0000      	22123.8938    	1435.81824    
452.5000      	22099.4475    	1439.54541    
453.0000      	22075.0552    	1495.63635    
453.5000      	22050.7166    	1444.90906    
454.0000      	22026.4317    	1413.72729    
454.5000      	22002.2002    	1418.27271    
455.0000      	21978.0220    	1460.90906    
455.5000      	21953.8968    	1491.18176    
456.0000      	21929.8246    	1504.27271    
456.5000      	21905.8050    	1508.54541    
457.0000      	21881.8381    	1559.45459    
457.5000      	21857.9235    	1544.90906    
458.0000      	21834.0611    	1490.00000    
458.5000      	21810.2508    	1403.18176    
459.0000      	21786.4924    	1588.54541    
459.5000      	21762.7856    	1492.00000    
460.0000      	21739.1304    	1525.63635    
460.5000      	21715.5266    	1467.45459    
461.0000      	21691.9740    	1493.63635    
461.5000      	21668.4724    	1578.36365    
462.0000      	21645.0216    	1543.00000    
462.5000      	21621.6216    	1432.27271    
463.0000      	21598.2721    	1472.90906    
463.5000      	21574.9730    	1454.63635    
464.0000      	21551.7241    	1439.36365    
464.5000      	21528.5253    	1492.36365    
465.0000      	21505.3763    	1584.81824    
465.5000      	21482.2771    	1445.36365    
466.0000      	21459.2275    	1709.27271    
466.5000      	21436.2272    	1412.63635    
467.0000      	21413.2762    	1473.63635    
467.5000      	21390.3743    	1522.90906    
468.0000      	21367.5214    	1461.81824    
468.5000      	21344.7172    	1486.09094    
469.0000      	21321.9616    	1595.36365    
469.5000      	21299.2545    	1524.36365    
470.0000      	21276.5957    	1447.18176    
470.5000      	21253.9851    	1545.72729    
471.0000      	21231.4225    	1522.27271    
471.5000      	21208.9077    	1427.09094    
472.0000      	21186.4407    	1385.81824    
472.5000      	21164.0212    	1448.09094    
473.0000      	21141.6490    	1476.27271    
473.5000      	21119.3242    	1440.36365    
474.0000      	21097.0464    	1551.36365    
474.5000      	21074.8156    	1467.09094    
475.0000      	21052.6316    	1358.09094    
475.5000      	21030.4942    	1468.54541    
476.0000      	21008.4034    	1438.36365    
476.5000      	20986.3589    	1445.27271    
477.0000      	20964.3606    	1474.54541    
477.5000      	20942.4084    	1530.45459    
478.0000      	20920.5021    	1545.00000    
478.5000      	20898.6416    	1514.81824    
479.0000      	20876.8267    	1491.45459    
479.5000      	20855.0574    	1474.63635    
480.0000      	20833.3333    	1471.09094    
480.5000      	20811.6545    	1465.54541    
481.0000      	20790.0208    	1485.09094    
481.5000      	20768.4320    	1396.00000    
482.0000      	20746.8880    	1434.54541    
482.5000      	20725.3886    	1551.36365    
483.0000      	20703.9337    	1487.09094    
483.5000      	20682.5233    	1518.27271    
484.0000      	20661.1570    	1505.00000    
484.5000      	20639.8349    	1485.81824    
485.0000      	20618.5567    	1493.18176    
485.5000      	20597.3223    	1526.63635    
486.0000      	20576.1317    	1547.45459    
486.5000      	20554.9846    	1386.18176    
487.0000      	20533.8809    	1452.27271    
487.5000      	20512.8205    	1463.45459    
488.0000      	20491.8033    	1611.63635    
488.5000      	20470.8291    	1444.09094    
489.0000      	20449.8978    	1434.00000    
489.5000      	20429.0092    	1535.45459    
490.0000      	20408.1633    	1511.36365    
490.5000      	20387.3598    	1490.36365    
491.0000      	20366.5988    	1449.00000    
491.5000      	20345.8800    	1546.63635    
492.0000      	20325.2033    	1479.45459    
492.5000      	20304.5685    	1450.36365    
493.0000      	20283.9757    	1582.45459    
493.5000      	20263.4245    	1412.81824    
494.0000      	20242.9150    	1480.09094    
494.5000      	20222.4469    	1507.00000    
495.0000      	20202.0202    	1498.18176    
495.5000      	20181.6347    	1418.27271    
496.0000      	20161.2903    	1499.90906    
496.5000      	20140.9869    	1478.27271    
497.0000      	20120.7243    	1460.36365    
497.5000      	20100.5025    	1574.72729    
498.0000      	20080.3213    	1444.54541    
498.5000      	20060.1805    	1428.18176    
499.0000      	20040.0802    	1588.36365    
499.5000      	20020.0200    	1510.27271    
500.0000      	20000.0000    	1428.00000    
500.5000      	19980.0200    	1475.63635    
501.0000      	19960.0798    	1505.18176    
501.5000      	19940.1795    	1467.81824    
502.0000      	19920.3187    	1493.45459    
502.5000      	19900.4975    	1445.72729    
503.0000      	19880.7157    	1393.27271    
503.5000      	19860.9732    	1473.72729    
504.0000      	19841.2698    	1455.63635    
504.5000      	19821.6056    	1545.18176    
505.0000      	19801.9802    	1489.18176    
505.5000      	19782.3937    	1426.54541    
506.0000      	19762.8458    	1463.09094    
506.5000      	19743.3366    	1379.90906    
507.0000      	19723.8659    	1461.54541    
507.5000      	19704.4335    	1512.09094    
508.0000      	19685.0394    	1536.72729    
508.5000      	19665.6834    	1404.90906    
509.0000      	19646.3654    	1464.09094    
509.5000      	19627.0854    	1599.54541    
510.0000      	19607.8431    	1663.36365    
510.5000      	19588.6386    	1484.90906    
511.0000      	19569.4716    	1455.45459    
511.5000      	19550.3421    	1534.18176    
512.0000      	19531.2500    	1581.90906    
512.5000      	19512.1951    	1413.45459    
513.0000      	19493.1774    	1415.00000    
513.5000      	19474.1967    	1406.09094    
514.0000      	19455.2529    	1476.00000    
514.5000      	19436.3460    	1438.90906    
515.0000      	19417.4757    	1431.09094    
515.5000      	19398.6421    	1529.27271    
516.0000      	19379.8450    	1415.45459    
516.5000      	19361.0842    	1468.72729    
517.0000      	19342.3598    	1402.72729    
517.5000      	19323.6715    	1478.00000    
518.0000      	19305.0193    	1426.27271    
518.5000      	19286.4031    	1388.36365    
519.0000      	19267.8227    	1357.36365    
519.5000      	19249.2782    	1457.45459    
520.0000      	19230.7692    	1469.45459    
520.5000      	19212.2959    	1465.27271    
521.0000      	19193.8580    	1470.36365    
521.5000      	19175.4554    	1425.00000    
522.0000      	19157.0881    	1477.09094    
522.5000      	19138.7560    	1493.00000    
523.0000      	19120.4589    	1506.63635    
523.5000      	19102.1968    	1458.72729    
524.0000      	19083.9695    	1463.63635    
524.5000      	19065.7769    	1444.09094    
525.0000      	19047.6190    	1480.90906    
525.5000      	19029.4957    	1410.54541    
526.0000      	19011.4068    	1398.63635    
526.5000      	18993.3523    	1562.27271    
527.0000      	18975.3321    	1430.09094    
527.5000      	18957.3460    	1357.81824    
528.0000      	18939.3939    	1481.09094    
528.5000      	18921.4759    	1537.54541    
529.0000      	18903.5917    	1459.00000    
529.5000      	18885.7413    	1462.81824    
530.0000      	18867.9245    	1454.09094    
530.5000      	18850.1414    	1398.36365    
531.0000      	18832.3917    	1477.00000    
531.5000      	18814.6754    	1453.81824    
532.0000      	18796.9925    	1480.27271    
532.5000      	18779.3427    	1476.09094    
533.0000      	18761.7261    	1450.09094    
533.5000      	18744.1425    	1419.18176    
534.0000      	18726.5918    	1482.81824    
534.5000      	18709.0739    	1444.54541    
535.0000      	18691.5888    	1519.72729    
535.5000      	18674.1363    	1435.54541    
536.0000      	18656.7164    	1522.27271    
536.5000      	18639.3290    	1456.63635    
537.0000      	18621.9739    	1457.36365    
537.5000      	18604.6512    	1462.27271    
538.0000      	18587.3606    	1459.81824    
538.5000      	18570.1021    	1448.36365    
539.0000      	18552.8757    	1448.27271    
539.5000      	18535.6812    	1470.63635    
540.0000      	18518.5185    	1389.00000    
540.5000      	18501.3876    	1448.09094    
541.0000      	18484.2884    	1509.90906    
541.5000      	18467.2207    	1477.54541    
542.0000      	18450.1845    	1488.09094    
542.5000      	18433.1797    	1393.54541    
543.0000      	18416.2063    	1493.72729    
543.5000      	18399.2640    	1499.18176    
544.0000      	18382.3529    	1441.81824    
544.5000      	18365.4729    	1423.63635    
545.0000      	18348.6239    	1532.72729    
545.5000      	18331.8057    	1466.63635    
546.0000      	18315.0183    	1550.27271    
546.5000      	18298.2617    	1452.45459    
547.0000      	18281.5356    	1450.54541    
547.5000      	18264.8402    	1456.27271    
548.0000      	18248.1752    	1474.36365    
548.5000      	18231.5406    	1405.72729    
549.0000      	18214.9362    	1496.90906    
549.5000      	18198.3621    	1500.36365    
550.0000      	18181.8182    	1458.72729    
550.5000      	18165.3043    	1507.09094    
551.0000      	18148.8203    	1367.45459    
551.5000      	18132.3663    	1446.90906    
552.0000      	18115.9420    	1420.09094    
