Unit Serial No : 240-LV0P465-EU
Integration Time : 240 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:13:18

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
426.0000      	23474.1784    	2554.27271    
426.5000      	23446.6589    	2534.09082    
427.0000      	23419.2037    	2632.09082    
427.5000      	23391.8129    	2612.36353    
428.0000      	23364.4860    	2498.54541    
428.5000      	23337.2229    	2602.36353    
429.0000      	23310.0233    	3167.90918    
429.5000      	23282.8871    	2821.27271    
430.0000      	23255.8140    	2663.09082    
430.5000      	23228.8037    	2659.00000    
431.0000      	23201.8561    	3062.90918    
431.5000      	23174.9710    	2577.27271    
432.0000      	23148.1481    	2418.18188    
432.5000      	23121.3873    	2647.90918    
433.0000      	23094.6882    	2341.72729    
433.5000      	23068.0507    	2648.45459    
434.0000      	23041.4747    	3057.54541    
434.5000      	23014.9597    	2585.90918    
435.0000      	22988.5057    	2600.54541    
435.5000      	22962.1125    	3054.72729    
436.0000      	22935.7798    	2860.81812    
436.5000      	22909.5074    	2608.36353    
437.0000      	22883.2952    	2585.45459    
437.5000      	22857.1429    	2689.18188    
438.0000      	22831.0502    	2598.18188    
438.5000      	22805.0171    	2477.72729    
439.0000      	22779.0433    	2525.54541    
439.5000      	22753.1286    	2437.81812    
440.0000      	22727.2727    	3281.18188    
440.5000      	22701.4756    	3042.27271    
441.0000      	22675.7370    	3477.18188    
441.5000      	22650.0566    	2727.63647    
442.0000      	22624.4344    	2729.63647    
442.5000      	22598.8701    	3335.54541    
443.0000      	22573.3634    	3108.18188    
443.5000      	22547.9143    	3117.81812    
444.0000      	22522.5225    	3122.81812    
444.5000      	22497.1879    	3175.63647    
445.0000      	22471.9101    	3300.45459    
445.5000      	22446.6891    	2679.18188    
446.0000      	22421.5247    	2884.18188    
446.5000      	22396.4166    	3348.72729    
447.0000      	22371.3647    	3182.72729    
447.5000      	22346.3687    	3359.72729    
448.0000      	22321.4286    	3400.63647    
448.5000      	22296.5440    	3163.81812    
449.0000      	22271.7149    	3529.90918    
449.5000      	22246.9410    	4000.27271    
450.0000      	22222.2222    	3629.09082    
450.5000      	22197.5583    	3871.18188    
451.0000      	22172.9490    	3936.00000    
451.5000      	22148.3942    	3928.09082    
452.0000      	22123.8938    	3800.45459    
452.5000      	22099.4475    	3809.00000    
453.0000      	22075.0552    	4024.54541    
453.5000      	22050.7166    	4016.54541    
454.0000      	22026.4317    	4009.09082    
454.5000      	22002.2002    	4108.36377    
455.0000      	21978.0220    	4423.00000    
455.5000      	21953.8968    	4617.54541    
456.0000      	21929.8246    	4789.00000    
456.5000      	21905.8050    	5052.00000    
457.0000      	21881.8381    	5452.90918    
457.5000      	21857.9235    	5436.54541    
458.0000      	21834.0611    	5507.45459    
458.5000      	21810.2508    	5246.72705    
459.0000      	21786.4924    	5824.27295    
459.5000      	21762.7856    	5356.27295    
460.0000      	21739.1304    	5659.90918    
460.5000      	21715.5266    	5922.54541    
461.0000      	21691.9740    	6262.90918    
461.5000      	21668.4724    	6774.36377    
462.0000      	21645.0216    	6974.63623    
462.5000      	21621.6216    	6808.36377    
463.0000      	21598.2721    	7048.27295    
463.5000      	21574.9730    	7133.63623    
464.0000      	21551.7241    	7142.09082    
464.5000      	21528.5253    	7720.54541    
465.0000      	21505.3763    	8143.72705    
465.5000      	21482.2771    	7853.54541    
466.0000      	21459.2275    	8645.18164    
466.5000      	21436.2272    	8071.27295    
467.0000      	21413.2762    	8449.00000    
467.5000      	21390.3743    	9067.36328    
468.0000      	21367.5214    	8835.81836    
468.5000      	21344.7172    	8871.27246    
469.0000      	21321.9616    	9704.81836    
469.5000      	21299.2545    	9401.72754    
470.0000      	21276.5957    	9250.36328    
470.5000      	21253.9851    	9883.63672    
471.0000      	21231.4225    	9712.72754    
471.5000      	21208.9077    	9154.09082    
472.0000      	21186.4407    	9202.00000    
472.5000      	21164.0212    	9604.18164    
473.0000      	21141.6490    	9775.90918    
473.5000      	21119.3242    	9388.90918    
474.0000      	21097.0464    	9933.00000    
474.5000      	21074.8156    	9636.81836    
475.0000      	21052.6316    	9228.09082    
475.5000      	21030.4942    	9684.00000    
476.0000      	21008.4034    	9419.36328    
476.5000      	20986.3589    	9451.00000    
477.0000      	20964.3606    	9615.00000    
477.5000      	20942.4084    	9681.27246    
478.0000      	20920.5021    	9800.72754    
478.5000      	20898.6416    	9520.54590    
479.0000      	20876.8267    	9293.00000    
479.5000      	20855.0574    	9232.09082    
480.0000      	20833.3333    	9163.27246    
480.5000      	20811.6545    	9035.63672    
481.0000      	20790.0208    	9082.54590    
481.5000      	20768.4320    	8554.90918    
482.0000      	20746.8880    	8567.27246    
482.5000      	20725.3886    	8842.54590    
483.0000      	20703.9337    	8410.36328    
483.5000      	20682.5233    	8361.81836    
484.0000      	20661.1570    	8118.45459    
484.5000      	20639.8349    	7841.81836    
485.0000      	20618.5567    	7803.27295    
485.5000      	20597.3223    	7819.45459    
486.0000      	20576.1317    	7665.81836    
486.5000      	20554.9846    	6896.45459    
487.0000      	20533.8809    	7035.90918    
487.5000      	20512.8205    	6985.00000    
488.0000      	20491.8033    	7480.63623    
488.5000      	20470.8291    	6715.18164    
489.0000      	20449.8978    	6580.27295    
489.5000      	20429.0092    	6815.00000    
490.0000      	20408.1633    	6701.45459    
490.5000      	20387.3598    	6438.63623    
491.0000      	20366.5988    	6274.45459    
491.5000      	20345.8800    	6494.27295    
492.0000      	20325.2033    	6076.63623    
492.5000      	20304.5685    	5891.72705    
493.0000      	20283.9757    	6259.18164    
493.5000      	20263.4245    	5514.36377    
494.0000      	20242.9150    	5688.81836    
494.5000      	20222.4469    	5574.81836    
495.0000      	20202.0202    	5372.36377    
495.5000      	20181.6347    	5068.00000    
