Unit Serial No : 240-LV0P465-EU
Integration Time : 60 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:23:23

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
426.0000      	23474.1784    	1458.81824    
426.5000      	23446.6589    	1489.45459    
427.0000      	23419.2037    	1472.36365    
427.5000      	23391.8129    	1498.45459    
428.0000      	23364.4860    	1451.09094    
428.5000      	23337.2229    	1461.27271    
429.0000      	23310.0233    	1616.54541    
429.5000      	23282.8871    	1517.72729    
430.0000      	23255.8140    	1476.45459    
430.5000      	23228.8037    	1490.72729    
431.0000      	23201.8561    	1583.81824    
431.5000      	23174.9710    	1451.09094    
432.0000      	23148.1481    	1439.00000    
432.5000      	23121.3873    	1485.72729    
433.0000      	23094.6882    	1418.09094    
433.5000      	23068.0507    	1475.45459    
434.0000      	23041.4747    	1578.63635    
434.5000      	23014.9597    	1451.18176    
435.0000      	22988.5057    	1504.72729    
435.5000      	22962.1125    	1549.63635    
436.0000      	22935.7798    	1508.63635    
436.5000      	22909.5074    	1453.63635    
437.0000      	22883.2952    	1451.63635    
437.5000      	22857.1429    	1463.90906    
438.0000      	22831.0502    	1428.45459    
438.5000      	22805.0171    	1406.36365    
439.0000      	22779.0433    	1416.09094    
439.5000      	22753.1286    	1394.54541    
440.0000      	22727.2727    	1632.81824    
440.5000      	22701.4756    	1528.00000    
441.0000      	22675.7370    	1624.09094    
441.5000      	22650.0566    	1439.90906    
442.0000      	22624.4344    	1434.27271    
442.5000      	22598.8701    	1566.54541    
443.0000      	22573.3634    	1517.90906    
443.5000      	22547.9143    	1501.81824    
444.0000      	22522.5225    	1493.90906    
444.5000      	22497.1879    	1514.54541    
445.0000      	22471.9101    	1537.09094    
445.5000      	22446.6891    	1368.09094    
446.0000      	22421.5247    	1406.27271    
446.5000      	22396.4166    	1502.18176    
447.0000      	22371.3647    	1413.54541    
447.5000      	22346.3687    	1464.27271    
