Unit Serial No : 240-LV0P465-EU
Integration Time : 249 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:27:23

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
350.0000      	28571.4286    	2872.45459    
350.5000      	28530.6705    	2831.18188    
351.0000      	28490.0285    	2775.36353    
351.5000      	28449.5021    	2814.18188    
352.0000      	28409.0909    	2701.90918    
352.5000      	28368.7943    	2735.09082    
353.0000      	28328.6119    	2618.90918    
353.5000      	28288.5431    	2788.27271    
354.0000      	28248.5876    	2466.81812    
354.5000      	28208.7447    	2478.09082    
355.0000      	28169.0141    	2589.00000    
355.5000      	28129.3952    	2704.18188    
356.0000      	28089.8876    	2323.45459    
356.5000      	28050.4909    	2549.81812    
357.0000      	28011.2045    	2508.09082    
357.5000      	27972.0280    	2536.81812    
358.0000      	27932.9609    	2603.27271    
358.5000      	27894.0028    	3085.81812    
359.0000      	27855.1532    	2640.18188    
359.5000      	27816.4117    	2722.45459    
360.0000      	27777.7778    	2626.00000    
360.5000      	27739.2510    	2699.63647    
361.0000      	27700.8310    	2680.18188    
361.5000      	27662.5173    	2947.27271    
362.0000      	27624.3094    	2706.18188    
362.5000      	27586.2069    	2861.09082    
363.0000      	27548.2094    	2882.45459    
363.5000      	27510.3164    	2526.00000    
364.0000      	27472.5275    	2276.72729    
364.5000      	27434.8422    	2438.18188    
365.0000      	27397.2603    	2562.18188    
365.5000      	27359.7811    	2743.90918    
366.0000      	27322.4044    	2767.36353    
366.5000      	27285.1296    	2659.90918    
367.0000      	27247.9564    	2654.72729    
367.5000      	27210.8844    	2970.00000    
368.0000      	27173.9130    	2653.27271    
368.5000      	27137.0421    	2990.90918    
369.0000      	27100.2710    	2649.45459    
369.5000      	27063.5995    	2606.90918    
370.0000      	27027.0270    	2994.63647    
370.5000      	26990.5533    	2412.18188    
371.0000      	26954.1779    	2719.00000    
371.5000      	26917.9004    	2497.81812    
372.0000      	26881.7204    	2527.72729    
372.5000      	26845.6376    	2755.72729    
373.0000      	26809.6515    	2524.72729    
373.5000      	26773.7617    	2770.63647    
374.0000      	26737.9679    	3044.81812    
374.5000      	26702.2697    	2686.54541    
375.0000      	26666.6667    	2539.81812    
375.5000      	26631.1585    	2702.09082    
376.0000      	26595.7447    	2670.63647    
376.5000      	26560.4250    	2472.18188    
377.0000      	26525.1989    	2689.81812    
377.5000      	26490.0662    	2686.18188    
378.0000      	26455.0265    	2606.27271    
378.5000      	26420.0793    	2668.72729    
379.0000      	26385.2243    	2642.54541    
379.5000      	26350.4611    	2696.09082    
380.0000      	26315.7895    	2551.27271    
380.5000      	26281.2089    	2618.00000    
381.0000      	26246.7192    	2624.45459    
381.5000      	26212.3198    	2499.27271    
382.0000      	26178.0105    	2663.90918    
382.5000      	26143.7908    	2794.36353    
383.0000      	26109.6606    	2806.18188    
383.5000      	26075.6193    	2579.27271    
