Unit Serial No : 240-LV0P465-EU
Integration Time : 249 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:26:04

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
350.0000      	28571.4286    	2843.36353    
350.5000      	28530.6705    	2768.18188    
351.0000      	28490.0285    	2729.63647    
351.5000      	28449.5021    	2814.27271    
352.0000      	28409.0909    	2695.00000    
352.5000      	28368.7943    	2696.54541    
353.0000      	28328.6119    	2566.27271    
353.5000      	28288.5431    	2742.72729    
354.0000      	28248.5876    	2424.63647    
354.5000      	28208.7447    	2435.00000    
355.0000      	28169.0141    	2565.36353    
355.5000      	28129.3952    	2684.81812    
356.0000      	28089.8876    	2300.72729    
356.5000      	28050.4909    	2504.72729    
357.0000      	28011.2045    	2435.36353    
357.5000      	27972.0280    	2532.63647    
358.0000      	27932.9609    	2579.36353    
358.5000      	27894.0028    	3056.81812    
359.0000      	27855.1532    	2577.81812    
359.5000      	27816.4117    	2666.81812    
360.0000      	27777.7778    	2585.72729    
360.5000      	27739.2510    	2682.72729    
361.0000      	27700.8310    	2648.36353    
361.5000      	27662.5173    	2935.09082    
362.0000      	27624.3094    	2694.90918    
362.5000      	27586.2069    	2818.09082    
363.0000      	27548.2094    	2826.45459    
363.5000      	27510.3164    	2499.63647    
364.0000      	27472.5275    	2276.45459    
364.5000      	27434.8422    	2383.27271    
365.0000      	27397.2603    	2517.63647    
365.5000      	27359.7811    	2690.36353    
366.0000      	27322.4044    	2721.09082    
366.5000      	27285.1296    	2662.72729    
367.0000      	27247.9564    	2610.81812    
367.5000      	27210.8844    	2911.00000    
368.0000      	27173.9130    	2580.27271    
368.5000      	27137.0421    	2952.90918    
369.0000      	27100.2710    	2607.90918    
369.5000      	27063.5995    	2590.72729    
370.0000      	27027.0270    	2944.45459    
370.5000      	26990.5533    	2378.63647    
371.0000      	26954.1779    	2679.54541    
371.5000      	26917.9004    	2462.72729    
372.0000      	26881.7204    	2530.18188    
372.5000      	26845.6376    	2662.90918    
373.0000      	26809.6515    	2473.45459    
373.5000      	26773.7617    	2673.18188    
374.0000      	26737.9679    	2985.90918    
374.5000      	26702.2697    	2648.27271    
375.0000      	26666.6667    	2507.00000    
375.5000      	26631.1585    	2644.36353    
376.0000      	26595.7447    	2599.27271    
376.5000      	26560.4250    	2450.54541    
377.0000      	26525.1989    	2639.00000    
377.5000      	26490.0662    	2668.45459    
378.0000      	26455.0265    	2594.45459    
378.5000      	26420.0793    	2618.09082    
379.0000      	26385.2243    	2609.18188    
379.5000      	26350.4611    	2623.63647    
380.0000      	26315.7895    	2502.27271    
380.5000      	26281.2089    	2560.72729    
381.0000      	26246.7192    	2562.63647    
381.5000      	26212.3198    	2451.72729    
382.0000      	26178.0105    	2612.00000    
382.5000      	26143.7908    	2729.18188    
383.0000      	26109.6606    	2763.72729    
383.5000      	26075.6193    	2560.18188    
384.0000      	26041.6667    	2993.27271    
384.5000      	26007.8023    	2552.81812    
385.0000      	25974.0260    	2538.18188    
385.5000      	25940.3372    	2525.72729    
386.0000      	25906.7358    	2401.36353    
386.5000      	25873.2212    	2625.63647    
387.0000      	25839.7933    	2680.18188    
387.5000      	25806.4516    	2508.27271    
388.0000      	25773.1959    	2711.27271    
388.5000      	25740.0257    	2662.63647    
389.0000      	25706.9409    	2586.72729    
389.5000      	25673.9409    	2704.27271    
390.0000      	25641.0256    	2598.63647    
390.5000      	25608.1946    	2581.36353    
391.0000      	25575.4476    	2623.54541    
391.5000      	25542.7842    	2878.54541    
392.0000      	25510.2041    	2528.90918    
392.5000      	25477.7070    	2529.54541    
393.0000      	25445.2926    	2789.27271    
393.5000      	25412.9606    	2468.63647    
394.0000      	25380.7107    	2896.90918    
394.5000      	25348.5425    	2464.09082    
395.0000      	25316.4557    	2735.90918    
395.5000      	25284.4501    	2625.63647    
396.0000      	25252.5253    	2906.18188    
396.5000      	25220.6810    	2613.36353    
397.0000      	25188.9169    	2742.09082    
397.5000      	25157.2327    	2709.00000    
398.0000      	25125.6281    	2693.00000    
398.5000      	25094.1029    	2509.90918    
399.0000      	25062.6566    	2725.18188    
399.5000      	25031.2891    	2862.81812    
400.0000      	25000.0000    	2770.54541    
400.5000      	24968.7890    	2569.72729    
401.0000      	24937.6559    	2501.09082    
401.5000      	24906.6002    	2719.27271    
402.0000      	24875.6219    	2737.72729    
402.5000      	24844.7205    	2690.00000    
403.0000      	24813.8958    	2362.90918    
403.5000      	24783.1475    	2637.63647    
404.0000      	24752.4752    	2634.36353    
404.5000      	24721.8789    	2870.63647    
405.0000      	24691.3580    	2659.09082    
405.5000      	24660.9125    	2567.54541    
406.0000      	24630.5419    	2517.90918    
406.5000      	24600.2460    	2484.09082    
407.0000      	24570.0246    	2698.45459    
407.5000      	24539.8773    	2467.81812    
408.0000      	24509.8039    	2407.27271    
408.5000      	24479.8042    	2466.09082    
409.0000      	24449.8778    	2415.18188    
409.5000      	24420.0244    	2633.18188    
410.0000      	24390.2439    	2639.00000    
410.5000      	24360.5359    	2769.81812    
411.0000      	24330.9002    	2729.72729    
411.5000      	24301.3366    	2716.36353    
412.0000      	24271.8447    	2789.09082    
412.5000      	24242.4242    	2529.72729    
413.0000      	24213.0751    	2796.18188    
413.5000      	24183.7969    	2654.36353    
414.0000      	24154.5894    	2581.09082    
414.5000      	24125.4524    	2491.63647    
415.0000      	24096.3855    	2376.18188    
415.5000      	24067.3887    	2469.81812    
416.0000      	24038.4615    	2710.18188    
416.5000      	24009.6038    	2686.54541    
417.0000      	23980.8153    	2544.72729    
417.5000      	23952.0958    	2430.54541    
418.0000      	23923.4450    	2758.00000    
418.5000      	23894.8626    	2621.72729    
419.0000      	23866.3484    	2629.81812    
419.5000      	23837.9023    	2469.00000    
420.0000      	23809.5238    	2577.90918    
420.5000      	23781.2128    	2600.18188    
421.0000      	23752.9691    	2556.63647    
421.5000      	23724.7924    	2510.81812    
422.0000      	23696.6825    	2683.18188    
422.5000      	23668.6391    	2596.00000    
423.0000      	23640.6619    	2670.45459    
423.5000      	23612.7509    	2448.90918    
424.0000      	23584.9057    	2662.00000    
424.5000      	23557.1260    	2840.90918    
425.0000      	23529.4118    	2459.72729    
425.5000      	23501.7626    	2344.18188    
426.0000      	23474.1784    	2526.00000    
426.5000      	23446.6589    	2539.63647    
427.0000      	23419.2037    	2578.27271    
427.5000      	23391.8129    	2607.09082    
428.0000      	23364.4860    	2494.72729    
428.5000      	23337.2229    	2568.36353    
429.0000      	23310.0233    	3004.45459    
429.5000      	23282.8871    	2736.54541    
430.0000      	23255.8140    	2628.18188    
430.5000      	23228.8037    	2691.18188    
431.0000      	23201.8561    	2920.63647    
431.5000      	23174.9710    	2539.63647    
432.0000      	23148.1481    	2421.27271    
432.5000      	23121.3873    	2558.00000    
433.0000      	23094.6882    	2298.45459    
433.5000      	23068.0507    	2551.63647    
434.0000      	23041.4747    	2876.00000    
434.5000      	23014.9597    	2500.09082    
435.0000      	22988.5057    	2550.45459    
435.5000      	22962.1125    	2907.81812    
436.0000      	22935.7798    	2710.54541    
436.5000      	22909.5074    	2490.45459    
437.0000      	22883.2952    	2462.09082    
437.5000      	22857.1429    	2566.36353    
438.0000      	22831.0502    	2429.81812    
438.5000      	22805.0171    	2325.90918    
439.0000      	22779.0433    	2374.54541    
439.5000      	22753.1286    	2280.00000    
440.0000      	22727.2727    	2995.45459    
440.5000      	22701.4756    	2765.00000    
441.0000      	22675.7370    	3064.27271    
441.5000      	22650.0566    	2482.90918    
442.0000      	22624.4344    	2442.36353    
442.5000      	22598.8701    	2902.72729    
443.0000      	22573.3634    	2720.36353    
443.5000      	22547.9143    	2710.54541    
444.0000      	22522.5225    	2691.18188    
444.5000      	22497.1879    	2705.90918    
445.0000      	22471.9101    	2756.63647    
445.5000      	22446.6891    	2218.72729    
446.0000      	22421.5247    	2380.81812    
446.5000      	22396.4166    	2687.18188    
447.0000      	22371.3647    	2475.45459    
447.5000      	22346.3687    	2626.18188    
448.0000      	22321.4286    	2656.63647    
448.5000      	22296.5440    	2415.27271    
449.0000      	22271.7149    	2657.45459    
449.5000      	22246.9410    	2947.36353    
450.0000      	22222.2222    	2590.72729    
450.5000      	22197.5583    	2759.09082    
451.0000      	22172.9490    	2777.27271    
451.5000      	22148.3942    	2705.90918    
452.0000      	22123.8938    	2565.63647    
452.5000      	22099.4475    	2566.36353    
453.0000      	22075.0552    	2565.81812    
453.5000      	22050.7166    	2479.81812    
454.0000      	22026.4317    	2394.09082    
454.5000      	22002.2002    	2436.54541    
455.0000      	21978.0220    	2623.18188    
455.5000      	21953.8968    	2699.63647    
456.0000      	21929.8246    	2675.90918    
456.5000      	21905.8050    	2741.90918    
457.0000      	21881.8381    	2928.09082    
457.5000      	21857.9235    	2858.09082    
458.0000      	21834.0611    	2724.00000    
458.5000      	21810.2508    	2536.54541    
459.0000      	21786.4924    	3054.00000    
459.5000      	21762.7856    	2669.72729    
460.0000      	21739.1304    	2883.72729    
460.5000      	21715.5266    	2679.18188    
461.0000      	21691.9740    	2750.00000    
461.5000      	21668.4724    	3051.63647    
462.0000      	21645.0216    	2901.00000    
462.5000      	21621.6216    	2615.27271    
