Unit Serial No : 240-LV0P465-EU
Integration Time : 113 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:23:29

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
426.0000      	23474.1784    	2155.81812    
426.5000      	23446.6589    	2199.90918    
427.0000      	23419.2037    	2253.90918    
427.5000      	23391.8129    	2332.00000    
428.0000      	23364.4860    	2261.63647    
428.5000      	23337.2229    	2308.63647    
429.0000      	23310.0233    	2560.63647    
429.5000      	23282.8871    	2452.27271    
430.0000      	23255.8140    	2424.45459    
430.5000      	23228.8037    	2491.90918    
431.0000      	23201.8561    	2606.00000    
431.5000      	23174.9710    	2475.72729    
432.0000      	23148.1481    	2480.90918    
432.5000      	23121.3873    	2588.81812    
433.0000      	23094.6882    	2583.00000    
433.5000      	23068.0507    	2719.63647    
434.0000      	23041.4747    	2894.27271    
434.5000      	23014.9597    	2819.36353    
435.0000      	22988.5057    	2984.81812    
435.5000      	22962.1125    	3199.63647    
436.0000      	22935.7798    	3189.54541    
436.5000      	22909.5074    	3203.00000    
437.0000      	22883.2952    	3254.72729    
437.5000      	22857.1429    	3391.90918    
438.0000      	22831.0502    	3423.27271    
438.5000      	22805.0171    	3554.00000    
439.0000      	22779.0433    	3717.27271    
439.5000      	22753.1286    	3818.00000    
440.0000      	22727.2727    	4197.81836    
440.5000      	22701.4756    	4121.90918    
441.0000      	22675.7370    	4379.00000    
441.5000      	22650.0566    	4269.54541    
442.0000      	22624.4344    	4412.72705    
442.5000      	22598.8701    	4715.18164    
443.0000      	22573.3634    	4710.09082    
443.5000      	22547.9143    	4901.81836    
444.0000      	22522.5225    	4985.09082    
444.5000      	22497.1879    	5228.54541    
445.0000      	22471.9101    	5560.09082    
445.5000      	22446.6891    	5450.00000    
446.0000      	22421.5247    	5705.54541    
446.5000      	22396.4166    	6146.27295    
447.0000      	22371.3647    	6190.72705    
447.5000      	22346.3687    	6289.09082    
448.0000      	22321.4286    	6585.72705    
448.5000      	22296.5440    	6757.27295    
449.0000      	22271.7149    	7106.63623    
449.5000      	22246.9410    	7331.54541    
450.0000      	22222.2222    	7539.09082    
450.5000      	22197.5583    	7742.90918    
