Unit Serial No : 240-LV0P465-EU
Integration Time : 249 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:28:53

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
426.0000      	23474.1784    	2515.27271    
426.5000      	23446.6589    	2513.72729    
427.0000      	23419.2037    	2599.27271    
427.5000      	23391.8129    	2602.63647    
428.0000      	23364.4860    	2505.27271    
428.5000      	23337.2229    	2555.00000    
429.0000      	23310.0233    	3003.45459    
429.5000      	23282.8871    	2754.45459    
430.0000      	23255.8140    	2618.27271    
430.5000      	23228.8037    	2639.45459    
431.0000      	23201.8561    	2956.18188    
431.5000      	23174.9710    	2506.09082    
432.0000      	23148.1481    	2417.72729    
432.5000      	23121.3873    	2535.63647    
433.0000      	23094.6882    	2321.54541    
433.5000      	23068.0507    	2551.00000    
434.0000      	23041.4747    	2910.54541    
434.5000      	23014.9597    	2487.63647    
435.0000      	22988.5057    	2529.63647    
435.5000      	22962.1125    	2941.45459    
436.0000      	22935.7798    	2744.18188    
436.5000      	22909.5074    	2505.72729    
437.0000      	22883.2952    	2477.27271    
437.5000      	22857.1429    	2542.81812    
438.0000      	22831.0502    	2423.63647    
438.5000      	22805.0171    	2365.81812    
439.0000      	22779.0433    	2393.36353    
439.5000      	22753.1286    	2286.63647    
440.0000      	22727.2727    	2963.09082    
440.5000      	22701.4756    	2758.09082    
441.0000      	22675.7370    	3086.72729    
441.5000      	22650.0566    	2462.81812    
442.0000      	22624.4344    	2442.45459    
442.5000      	22598.8701    	2945.27271    
443.0000      	22573.3634    	2716.54541    
443.5000      	22547.9143    	2703.36353    
444.0000      	22522.5225    	2691.63647    
444.5000      	22497.1879    	2687.45459    
445.0000      	22471.9101    	2781.54541    
445.5000      	22446.6891    	2224.36353    
446.0000      	22421.5247    	2384.45459    
446.5000      	22396.4166    	2691.54541    
447.0000      	22371.3647    	2479.63647    
447.5000      	22346.3687    	2633.81812    
448.0000      	22321.4286    	2663.81812    
448.5000      	22296.5440    	2417.27271    
449.0000      	22271.7149    	2639.81812    
449.5000      	22246.9410    	2956.90918    
450.0000      	22222.2222    	2590.45459    
450.5000      	22197.5583    	2757.27271    
451.0000      	22172.9490    	2776.36353    
451.5000      	22148.3942    	2678.18188    
452.0000      	22123.8938    	2533.36353    
452.5000      	22099.4475    	2521.09082    
453.0000      	22075.0552    	2557.81812    
453.5000      	22050.7166    	2500.27271    
454.0000      	22026.4317    	2385.09082    
454.5000      	22002.2002    	2421.81812    
455.0000      	21978.0220    	2585.09082    
455.5000      	21953.8968    	2652.00000    
456.0000      	21929.8246    	2627.90918    
456.5000      	21905.8050    	2693.81812    
457.0000      	21881.8381    	2904.45459    
457.5000      	21857.9235    	2825.72729    
458.0000      	21834.0611    	2641.63647    
458.5000      	21810.2508    	2459.00000    
459.0000      	21786.4924    	3000.09082    
459.5000      	21762.7856    	2605.72729    
460.0000      	21739.1304    	2820.81812    
460.5000      	21715.5266    	2586.72729    
461.0000      	21691.9740    	2645.54541    
461.5000      	21668.4724    	2967.54541    
462.0000      	21645.0216    	2850.81812    
462.5000      	21621.6216    	2483.09082    
463.0000      	21598.2721    	2704.63647    
463.5000      	21574.9730    	2581.45459    
464.0000      	21551.7241    	2538.54541    
464.5000      	21528.5253    	2763.63647    
465.0000      	21505.3763    	2851.72729    
465.5000      	21482.2771    	2531.27271    
466.0000      	21459.2275    	3642.63647    
